label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	category	namespace	recall	track	clade	median_pident
amphioxus.rbh.all	SYN_GO0016020	BP	50	39	0.7324824485603136	amphioxus	rbh	all	other	cellular_component	0.1301775147928994	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0016070	BP	50	50	0.9443638022891088	amphioxus	rbh	all	conserved	biological_process	0.3333333333333333	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0016477	BP	50	50	0.6299967651001811	amphioxus	rbh	all	other	biological_process	0.082004555808656	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0016740	BP	28	7	0.6614473849430365	amphioxus	rbh	all	other	molecular_function	0.1785714285714285	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0016787	BP	28	20	0.73046500379121	amphioxus	rbh	all	other	molecular_function	0.25	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0019538	BP	50	19	0.8366433570986498	amphioxus	rbh	all	conserved	biological_process	0.3461538461538461	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0022402	BP	50	50	0.8444721046896371	amphioxus	rbh	all	conserved	biological_process	0.2302631578947368	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0022803	BP	19	40	0.7706210362522059	amphioxus	rbh	all	other	molecular_function	0.6842105263157895	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0022836	BP	18	38	0.7532952083320563	amphioxus	rbh	all	other	molecular_function	0.6666666666666666	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0022857	BP	30	48	0.811841819006641	amphioxus	rbh	all	other	molecular_function	0.6666666666666666	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0023051	BP	50	50	0.852695930148926	amphioxus	rbh	all	other	biological_process	0.1754874651810584	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0023056	BP	50	50	0.8348515893422532	amphioxus	rbh	all	other	biological_process	0.1328125	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0030029	BP	50	15	0.7363201047660921	amphioxus	rbh	all	other	biological_process	0.1363636363636363	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0030036	BP	50	15	0.7363201047660921	amphioxus	rbh	all	other	biological_process	0.1379310344827586	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0030218	BP	40	0	0.0	amphioxus	rbh	all	specific	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0032774	BP	50	50	0.908928223747486	amphioxus	rbh	all	conserved	biological_process	0.3300970873786408	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0032991	BP	50	25	0.4786712203792041	amphioxus	rbh	all	other	cellular_component	0.1159420289855072	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0033036	BP	50	45	0.825634973640689	amphioxus	rbh	all	other	biological_process	0.225563909774436	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0033993	BP	43	0	0.0	amphioxus	rbh	all	other	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0034654	BP	50	50	0.9043225776105795	amphioxus	rbh	all	conserved	biological_process	0.3113207547169811	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0035107	BP	50	19	0.5912697814562992	amphioxus	rbh	all	specific	biological_process	0.0276243093922651	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0035162	BP	50	41	0.6085995502910836	amphioxus	rbh	all	specific	biological_process	0.1204819277108433	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0036094	BP	16	13	0.7179725555427394	amphioxus	rbh	all	other	molecular_function	0.5625	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0038023	BP	39	49	0.8292528374732036	amphioxus	rbh	all	other	molecular_function	0.6153846153846154	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0040008	BP	50	16	0.5702661752554423	amphioxus	rbh	all	other	biological_process	0.028735632183908	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0042221	BP	50	30	0.5976397903487272	amphioxus	rbh	all	other	biological_process	0.1046511627906976	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0042995	BP	50	44	0.8133914111064434	amphioxus	rbh	all	other	cellular_component	0.2727272727272727	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043067	BP	50	28	0.7212808729352129	amphioxus	rbh	all	other	biological_process	0.2307692307692307	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043167	BP	11	12	0.6805199604092309	amphioxus	rbh	all	other	molecular_function	0.5454545454545454	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043170	BP	50	37	0.90483009262845	amphioxus	rbh	all	conserved	biological_process	0.2279411764705882	fish	fish	50.6
