label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0005737	BP	50	1	0.260746791680113	amphioxus	rbh	all	fish	fish	50.6	650	0.0066225165562913
amphioxus.rbh.all	SYN_GO0005737	CC	46	2	0.3795749904127017	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0005737	MF	2	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0005856	BP	50	35	0.8409163772209899	amphioxus	rbh	all	fish	fish	50.6	650	0.3255813953488372
amphioxus.rbh.all	SYN_GO0005856	CC	27	24	0.8430491254660605	amphioxus	rbh	all	fish	fish	50.6	650	0.4814814814814814
amphioxus.rbh.all	SYN_GO0005856	MF	1	31	0.3976764340559329	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0005886	BP	50	46	0.7561215280348215	amphioxus	rbh	all	fish	fish	50.6	650	0.125
amphioxus.rbh.all	SYN_GO0005886	CC	24	16	0.8934921643795068	amphioxus	rbh	all	fish	fish	50.6	650	0.4583333333333333
amphioxus.rbh.all	SYN_GO0005886	MF	37	27	0.8671546403667875	amphioxus	rbh	all	fish	fish	50.6	650	0.5135135135135135
amphioxus.rbh.all	SYN_GO0005929	BP	50	44	0.8102286138447538	amphioxus	rbh	all	fish	fish	50.6	650	0.28125
amphioxus.rbh.all	SYN_GO0005929	CC	18	23	0.9067346662544682	amphioxus	rbh	all	fish	fish	50.6	650	0.7222222222222222
amphioxus.rbh.all	SYN_GO0005929	MF	2	20	0.2289967453702189	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0006139	BP	50	50	0.9138417101414512	amphioxus	rbh	all	fish	fish	50.6	650	0.325
amphioxus.rbh.all	SYN_GO0006139	CC	19	24	0.8426802818830559	amphioxus	rbh	all	fish	fish	50.6	650	0.5789473684210527
amphioxus.rbh.all	SYN_GO0006139	MF	10	15	0.8157184962214282	amphioxus	rbh	all	fish	fish	50.6	650	0.7
