clade	aspect	distance	method	wang	n_ref	reliability
plant_rice	MF	far (<55%)	besthit	0.46	2	caution
plant_rice	MF	far (<55%)	rbh	0.36	2	unreliable
plant_rice	BP	near (>70%)	besthit	0.74	10	reliable
plant_rice	BP	near (>70%)	rbh	0.72	10	reliable
plant_rice	BP	mid (55-70%)	besthit	0.69	9	reliable
plant_rice	BP	mid (55-70%)	rbh	0.68	9	reliable
plant_rice	BP	far (<55%)	besthit	0.55	2	caution
plant_rice	BP	far (<55%)	rbh	0.39	2	unreliable
plant_rice	CC	near (>70%)	besthit	0.35	10	unreliable
plant_rice	CC	near (>70%)	rbh	0.33	10	unreliable
plant_rice	CC	mid (55-70%)	besthit	0.45	9	unreliable
plant_rice	CC	mid (55-70%)	rbh	0.46	9	caution
plant_rice	CC	far (<55%)	besthit	0.52	2	caution
plant_rice	CC	far (<55%)	rbh	0.33	2	unreliable
