track	ref	clade	method	evset	aspect	ic_bin	wang_bma	recall	f1	n_terms	median_pident
fish	chicken	fish	besthit	all	CC	mid			0.0	0.0	64.4
fish	chicken	fish	besthit	all	CC	shallow		0.40880144118346834	0.30323095179095955	10.114583333333334	64.4
fish	chicken	fish	besthit	all	MF	mid			0.0	0.0	64.4
fish	chicken	fish	besthit	all	MF	shallow		0.557432949958124	0.37357047601808546	13.970297029702971	64.4
fish	chicken	fish	besthit	exp	BP	mid			0.0	0.0	64.4
fish	chicken	fish	besthit	exp	BP	shallow		0.09109047201741133	0.10993437933359883	157.9795918367347	64.4
fish	chicken	fish	besthit	exp	CC	mid			0.0	0.0	64.4
fish	chicken	fish	besthit	exp	CC	shallow		0.10486881435313752	0.15747213910412483	15.758620689655173	64.4
fish	chicken	fish	besthit	exp	MF	mid			0.0	0.0	64.4
fish	chicken	fish	besthit	exp	MF	shallow		0.16000500203744253	0.23584557485019966	24.90625	64.4
fish	chicken	fish	rbh	all	BP	mid			0.0	0.0	64.4
fish	chicken	fish	rbh	all	BP	shallow		0.37673633062718126	0.40400567332789183	125.15238095238095	64.4
fish	chicken	fish	rbh	all	CC	mid			0.0	0.0	64.4
fish	chicken	fish	rbh	all	CC	shallow		0.38924077346115277	0.287603966033027	10.440860215053764	64.4
fish	chicken	fish	rbh	all	MF	mid			0.0	0.0	64.4
fish	chicken	fish	rbh	all	MF	shallow		0.5361476579818221	0.4101232945398766	14.54639175257732	64.4
fish	chicken	fish	rbh	exp	BP	shallow		0.0032428028493782074	0.006276816054926319	218.30769230769232	64.4
fish	chicken	fish	rbh	exp	CC	shallow		0.013450292397660806	0.02540485829959514	21.76923076923077	64.4
fish	chicken	fish	rbh	exp	MF	shallow		0.0	0.0	16.333333333333332	64.4
fish	cod	fish	besthit	all	BP	mid			0.0	0.0	69.5
fish	cod	fish	besthit	all	BP	shallow		0.34830716226306146	0.39919439056042877	125.15238095238095	69.5
fish	cod	fish	besthit	all	CC	mid			0.0	0.0	69.5
fish	cod	fish	besthit	all	CC	shallow		0.4116953489620785	0.3347327591275284	10.554347826086957	69.5
fish	cod	fish	besthit	all	MF	mid			0.0	0.0	69.5
fish	cod	fish	besthit	all	MF	shallow		0.5342207482416185	0.39230849175692434	13.833333333333334	69.5
fish	cod	fish	rbh	all	BP	mid			0.0	0.0	69.5
fish	cod	fish	rbh	all	BP	shallow		0.32353803859391456	0.3930024912368143	125.15238095238095	69.5
fish	cod	fish	rbh	all	CC	mid			0.0	0.0	69.5
fish	cod	fish	rbh	all	CC	shallow		0.348363626725594	0.3004688223917317	10.67032967032967	69.5
fish	cod	fish	rbh	all	MF	mid			0.0	0.0	69.5
fish	cod	fish	rbh	all	MF	shallow		0.444083211299623	0.36028294007683814	14.39795918367347	69.5
fish	coelacanth	fish	besthit	all	BP	mid			0.0	0.0	64.4
fish	coelacanth	fish	besthit	all	BP	shallow		0.32018643932430557	0.3783689979399264	125.15238095238095	64.4
fish	coelacanth	fish	besthit	all	CC	mid			0.0	0.0	64.4
fish	coelacanth	fish	besthit	all	CC	shallow		0.3944318410078107	0.3208674124873047	10.554347826086957	64.4
fish	coelacanth	fish	besthit	all	MF	mid			0.0	0.0	64.4
fish	coelacanth	fish	besthit	all	MF	shallow		0.5365578660180783	0.4160546994561322	14.252525252525253	64.4
fish	coelacanth	fish	rbh	all	BP	mid			0.0	0.0	64.4
fish	coelacanth	fish	rbh	all	BP	shallow		0.30236948792560786	0.36262281883968456	125.15238095238095	64.4
fish	coelacanth	fish	rbh	all	CC	mid			0.0	0.0	64.4
fish	coelacanth	fish	rbh	all	CC	shallow		0.35095122213485347	0.320221361977141	11.290697674418604	64.4
fish	coelacanth	fish	rbh	all	MF	mid			0.0	0.0	64.4
fish	coelacanth	fish	rbh	all	MF	shallow		0.4848837340083711	0.40556868861823375	14.697916666666666	64.4
fish	elephantshark	fish	besthit	all	BP	mid			0.0	0.0	63.3
fish	elephantshark	fish	besthit	all	BP	shallow		0.3072929770378475	0.3636916724195077	125.15238095238095	63.3
fish	elephantshark	fish	besthit	all	CC	mid			0.0	0.0	63.3
fish	elephantshark	fish	besthit	all	CC	shallow		0.3383240287782789	0.28627174651728604	10.554347826086957	63.3
fish	elephantshark	fish	besthit	all	MF	mid			0.0	0.0	63.3
