track	ref	median_pident	string_conservation	edge_rate	n_genes	n_edges	GO_Wang	GO_recall
fish	sinocyclocheilus	86.7	0.20692389006342496	0.002517905102954342	10	17872	0.7647290066318152	0.3407210853135866
fish	astyanax	76.5	0.2714758751182592	0.9285714285714286	1466	16170	0.757721462957203	0.3303563231068681
fish	salmon	73.1	0.07494145199063232	0.185378590078329	751	17235	0.7592917721133338	0.33685112996899846
fish	cod	69.5		0.0	0	14227	0.7570836265760563	0.32353803859391456
fish	chicken	64.4	0.0746987951807229	0.08762886597938144	287	11058	0.7477540016115286	0.37673633062718126
fish	grasscarp	62.4		0.0	0	13955	0.7525491431384572	0.33457903851899345
fish	lamprey	56.4	0.01855287569573284	0.010399411006810234	51	10866	0.6722130926778481	0.24541761060406717
fish	amphioxus	50.6	0.055749805749805745	0.05097923432732999	148	10161	0.6792329881619086	0.2345242091226805
fish	fruitfly	45.1	0.13636363636363635	0.38596491228070173	422	8151	0.6115740970160614	0.2086897820944068
fish	celegans	40.8	0.17843300110741972	0.8302432386460282	456	5879	0.5340515100277606	0.1525502031241161
mammal	rat	94.5	0.2111456176673568	0.369842562432139	1844	29472	0.9095926074372038	0.8830426309035655
mammal	human	86.5	0.05263157894736842	0.054402120357470524	674	29429	0.830327056948732	0.4987863361687106
mammal	dog	85.6	0.0176868644865958	0.00578555864452626	130	26618	0.8228035160608963	0.39663065848352436
mammal	cow	85.0	0.12640801001251564	0.23464489681510808	1299	28541	0.8166371680957665	0.37039832485118007
mammal	opossum	77.5	0.25	0.596054294215954	1800	24533	0.8153235190958549	0.37517430447788924
mammal	chicken	72.8	0.08695652173913043	0.0953222873307739	536	19796	0.8085116800043276	0.3592510558668744
mammal	xenopus	67.4	0.019230769230769232	0.010336793052319423	241	23605	0.7929664720037451	0.2622904888339516
mammal	gar	65.0	0.21739130434782608	0.7899805347812724	1801	19522	0.7983117477811181	0.2788586045233969
mammal	zebrafish	62.6	0.07407407407407407	0.09525911538801095	622	22654	0.7649525786982903	0.23893470847567494
mammal	lamprey	56.0	0.023255813953488372	0.011242858020519752	69	16277	0.692714647350634	0.1707895891999001
plant_rice	o_rufipogon	99.6	0.4763764880952381	0.7980543901965043	4468	174958	0.7129613551128012	0.3756589864216858
plant_rice	o_barthii	98.1	0.4729064039408867	0.9336787769452601	4588	151882	0.7043601254486684	0.3598155535808975
plant_rice	o_punctata	91.9	0.5	0.8639405669490524	4266	143893	0.7197851032511309	0.3871208467614653
plant_rice	o_brachyantha	88.0	0.4	0.6313541012742852	3291	122657	0.7201299783210832	0.4044236037018625
plant_rice	leersia	84.5	0.43548387096774194	0.858904600411629	3931	120011	0.7151445511040533	0.3614425835503077
plant_rice	sorghum	77.6	0.35294117647058826	0.5817507127449354	3188	132586	0.7145609297049571	0.3615382367298077
plant_rice	maize	76.8	0.061224489795918366	0.05578224761173251	936	124986	0.7755390325705022	0.5096215856718574
plant_rice	grape	62.8	0.25862068965517243	0.4492574997905922	2173	83569	0.7353041503099834	0.3708834723271608
plant_rice	tomato	60.5	0.281496062992126	0.6430534716044137	2342	75311	0.7186795844166667	0.34021488523776683
plant_rice	moss	54.8	0.22301010704175514	0.5861568326780966	1704	61301	0.43344721133774017	0.14224021359185476
plant_arabidopsis	capsella	89.3	0.4	0.812951393788565	2822	77953	0.7582563836777186	0.4092400497821015
plant_arabidopsis	brassica_oleracea	83.2	0.19230769230769232	0.832352609263409	2623	62029	0.7445899995890451	0.38071198421211194
plant_arabidopsis	grape	66.1	0.2306885986131269	0.5450392247346562	1642	43340	0.6986583155894979	0.2905834965316745
plant_arabidopsis	potato	63.9	0.2265193370165746	0.6829622309378957	1385	32381	0.6783052949072934	0.2619792826816248
