track	clade	ref	aspect	median_pident	wang	recall	n	wang_lo	wang_hi	recall_lo	recall_hi
fish	fish	amphioxus	BP	50.6	0.6792329881619086	0.2345242091226805	105	0.631446520358368	0.7240053372044614	0.2001032234566026	0.2759539871402578
fish	fish	amphioxus	CC	50.6	0.5158399988946093	0.39145756951220184	94	0.446218992063648	0.5885921015293873	0.3199481153794475	0.4663634681915155
fish	fish	amphioxus	MF	50.6	0.5224191315938551	0.3488225420235382	94	0.4400476980289638	0.5949268866340333	0.288213315986714	0.409810171274158
fish	fish	astyanax	BP	76.5	0.757721462957203	0.3303563231068681	105	0.7393254414933284	0.7754887288883372	0.2999548393168381	0.36178857112804774
fish	fish	astyanax	CC	76.5	0.48045004342203523	0.35773854571683233	97	0.4085366468371423	0.5464109597217168	0.2946868387009671	0.43185363298303836
fish	fish	astyanax	MF	76.5	0.528316925488255	0.4655243390438759	103	0.46444577662269587	0.5947607232927459	0.3913426179382517	0.539418812029547
fish	fish	carp	BP	87.5	0.7544664664465233	0.3429639719096144	105	0.7332149351778203	0.7745837639775545	0.3133074455569877	0.37211596258834123
fish	fish	carp	CC	87.5	0.4822276759843961	0.39366911037647234	98	0.414592942279826	0.5525060214932013	0.3186746742878361	0.46732154535919446
fish	fish	carp	MF	87.5	0.5358977481829016	0.5410001533981866	104	0.4670737221282157	0.601454798985701	0.4790237493502406	0.6050037377167286
fish	fish	celegans	BP	40.8	0.5340515100277607	0.15255020312411607	98	0.4670613073075116	0.5947723963646941	0.12117398917573752	0.19057772141876936
fish	fish	celegans	CC	40.8	0.5327472297591929	0.35306894668929373	82	0.45227628230072137	0.6060365770133248	0.2812308564543232	0.42747957394851505
fish	fish	celegans	MF	40.8	0.4594129272657299	0.24359357390314218	87	0.3879981571224495	0.5354152260599607	0.18783835510030267	0.30282751648560197
fish	fish	chicken	BP	64.4	0.7477540016115286	0.37673633062718126	105	0.717374279102255	0.7731916142579994	0.34273383499976506	0.4085000986886547
fish	fish	chicken	CC	64.4	0.5066445520814673	0.38924077346115277	94	0.4386659959723697	0.5681504080961381	0.3167266222959822	0.4630951496389962
fish	fish	chicken	MF	64.4	0.5517596641490202	0.536147657981822	101	0.48684755202346297	0.6162877079874366	0.4667498728734292	0.6040095439754778
fish	fish	cod	BP	69.5	0.7570836265760563	0.32353803859391456	105	0.7340021123780356	0.7768594537441498	0.29109827169803837	0.35708492251145985
fish	fish	cod	CC	69.5	0.4932513005740146	0.348363626725594	97	0.4271747820907533	0.5571965011002036	0.2783212305122852	0.41484006392309963
fish	fish	cod	MF	69.5	0.5178521847948979	0.44408321129962297	104	0.44747370949711884	0.5833508982359611	0.3748257372451612	0.5057764843162864
fish	fish	coelacanth	BP	64.4	0.7221853540350295	0.30236948792560786	105	0.686906203374064	0.7549459568735379	0.263445441752617	0.34134844270524545
fish	fish	coelacanth	CC	64.4	0.49394660853227834	0.35095122213485347	93	0.42179436521165753	0.5632066266167028	0.27305737259237567	0.42752543952742134
